neighbourhood_cleansed,neighbourhood_group
Baker,Central
Capitol Hill,Central
CBD,Central
Cheesman Park,Central
Cherry Creek,Central
City Park,Central
City Park West,Central
Civic Center,Central
Congress Park,Central
Country Club,Central
Lincoln Park,Central
North Capitol Hill,Central
Speer,Central
Union Station,Central
Belcaro,East
Cory - Merrill,East
East Colfax,East
Hale,East
Hilltop,East
Indian Creek,East
Lowry Field,East
Montclair,East
Park Hill,East
Virginia Village,East
Washington Virginia Vale,East
Windsor,East
Clayton,North
Cole,North
Elyria Swansea,North
Five Points,North
Globeville,North
North Park Hill,North
Skyland,North
South Park Hill,North
Whittier,North
Stapleton,Northeast
DIA,Northeast
Gateway - Green Valley Ranch,Northeast
Montbello,Northeast
Northeast Park Hill,Northeast
Auraria,Northwest
Berkeley,Northwest
Chaffee Park,Northwest
Highland,Northwest
Jefferson Park,Northwest
Regis,Northwest
Sloan Lake,Northwest
Sunnyside,Northwest
West Highland,Northwest
College View - South Platte,South
Overland,South
Platt Park,South
Rosedale,South
University,South
University Hills,South
University Park,South
Washington Park,South
Washington Park West,South
Wellshire,South
Goldsmith,Southeast
Hampden,Southeast
Hampden South,Southeast
Kennedy,Southeast
Southmoor Park,Southeast
Bear Valley,Southwest
Fort Logan,Southwest
Harvey Park,Southwest
Harvey Park South,Southwest
Marston,Southwest
Athmar Park,West
Barnum,West
Barnum West,West
Mar Lee,West
Ruby Hill,West
Sun Valley,West
Valverde,West
Villa Park,West
West Colfax,West
Westwood,West